id,name,followers,createdAt,totalViewCount,description,language,game_name
48192899,Moonryde,473081,16:42.3,160732858,"🇫🇷 Esport Org on Fortnite, League of Legends, HearthStone, Super Smash Bros Ultimate, TrackMania, Rocket League & TFT - #SLYWIN - ✉ contact@solary.fr",it,Call of Duty: Warzone
77415295,Jasper7se,140164,39:07.5,8531712,"A methodical and smooth streamer, Jay brings positive vibes and a high level of entertainment to his growing number of followers. With a background in finance, he understands there is no reward without taking risk. He and Roshtein have been in friendly rivalry since grade school.",ja,Apex Legends
174955366,Solary,554003,02:58.8,32805236,Apex Legends Content Creator for Luminosity Gaming. ,fr,League of Legends
547554019,DeuceAce,161497,42:36.6,17416883,"Nemesis, Professional League of Legends player and more",en,Slots
128149102,ShivFPS,957322,06:29.8,45386359,훌라춤을 춘다 탬버린!,en,Apex Legends
86131599,lol_nemesis,431676,56:59.6,42548615,,en,League of Legends
506718746,momo_sports,42958,17:09.4,136432773,,zh,Sports
133923936,탬탬버린,553240,50:47.4,104902810,"I'm Thijs, 26 years old and playing Hearthstone since 2013. After my 2 times HS European Championship I started full-time streaming. Email: thijsnlbusiness@gmail.com",ko,Super Mario Party
148057505,괴물쥐123,673497,47:28.5,73765490,Bonjwa | Good Game. Have Fun.,ko,League of Legends
103825127,풍월량,547480,53:40.9,90085711,123,ko,Just Chatting
57025612,Thijs,770145,57:29.5,31118369,Es gibt täglichen Content auf Twitch & Youtube. Schaut euch einfach etwas um und habt Spaß.,en,Hearthstone
73437396,Bonjwa,175710,25:10.1,4041245,"LIVE EVERY MONDAY, WEDNESDAY, AND FRIDAY FROM 7-12PM PST.........follow our instagram @grizzleyganggaming SUPPORTERS WIILL BE REWARDED ",de,New World
11692694,uzra,214584,59:04.9,7655143,Professional furlough jester,zh,Among Us
16064695,Dhalucard,418397,47:36.0,27018600,녹두로의 종합 게임 방송국,de,Pokémon Unite
150989534,冠緯,48658,22:27.1,65114748,2008년부터 종합게임방송을 하고 있습니다. 보러 와 주셔서 감사합니다.,zh,World Flipper
431882702,TeeGrizzley,672656,59:00.1,3349982,Hago directos de Lunes a Viernes a las 15:00. Adiós. ,en,Call of Duty: Warzone
10386664,Limmy,328592,43:46.6,13405222,A veces juego a cosas,en,The Elder Scrolls V: Skyrim
137687203,녹두로,225058,26:33.0,11384798,안녕 내이름은 선바,ko,Pokémon Unite
49045679,우왁굳,697972,10:52.8,313095507,"Mais um guerreiro da Maior Tribo do Mundo! Atuei como jogador profissional de CS por quase uma década, fui o primeiro treinador a ser campeão do mundo em 2007 com o MIBR. Acertei um pouco, errei muito, ganhei bastante coisa e tbm perdi demais! Atualmente faço live todos os dias aqui na Twitch! ",ko,Just Chatting
93132142,8cho,573673,44:04.1,3413699,Any Smilers :),es,Just Chatting
107627864,SoyFelipez360,245102,41:16.9,42761818,"Hi, I'm korean hearthstone player / commentator. ㅎㅇ 나는 코리안 하스스톤 플레이어 / 해설자야.",es,DayZ
114774737,선바,324140,33:09.3,4412148,"well, hi...",ko,Just Chatting
181077473,Gaules,2846697,42:19.3,32311877,"Australian royalty attempts to find meaning in life after achieving life long goal of defeating Dopa. Not a washed up streamer, not mald, not losing mid, not missing cannon minions.",pt,Counter-Strike: Global Offensive
38592402,Macilus,38825,49:01.5,6112231,"Don't be a Fool, Watch Abdul !",en,Black Desert Online
62356185,룩삼,289908,31:07.2,18332408,,ko,StarCraft
410965603,OkCode,124131,17:00.2,42233337,On est là !,en,Genshin Impact
92113890,midbeast,545080,45:34.5,24929057,I like to eat nerds rope.,en,League of Legends
42546908,AbdulHD,302171,28:40.2,52184526,Solo il meglio della competizione nazionale ed internazionale presentata dal Tournament Organizer leader di settore in Italia. Segui con noi i campionati più avvincenti e tifa la tua squadra preferita!,en,Grand Theft Auto V
175163251,피닉스박1,198549,42:01.4,65080836,Home of The Onward and Upward Vibrations and Multi-Zhon-Don(Multi-Genre) Gaming Experiences | [+],ko,StarCraft
622498423,otplol_,345043,10:02.4,7928375,25 Jahre alt und komplett durch mit dem Leben,fr,League of Legends
224842350,HpFox69,132,31:45.3,72463730,SkipNhO Ele é LOKO certeza o mais KappAcitado !!!,pt,Call of Duty: Warzone
7010591,UberHaxorNova,488335,12:30.2,16453288,"Алексей Pch3lk1n Пчёлкин - стример, профессиональный киберспортивный комментатор CS:GO, ведущий, автор проектов RAPКинообзор, RAPGAMEOBZOR на YouTube. Сотрудничество - rapmary@yandex.ru. Не занимаюсь продвижением личных каналов на Twitch.",en,Grand Theft Auto V
52650914,PG_Esports,147112,30:36.8,53698047,橘子歡樂台，天天都精彩，你還不快來?,it,League of Legends
14408894,CDNThe3rd,2004897,08:59.1,6888921,contact me at : contact.xcaliburye@gmail.com,en,New World
56489971,metashi12,87829,58:18.6,114923974,I LIKE TO STREAM LEAGUE OF LEGENDS AND SOMETIMES OTHER GAMES,de,New World
63602976,SkipNhO,1183184,46:28.4,23053033,이것저것 다하는 쫄보😗,pt,New World
89471706,4zrr,186705,02:12.9,6995599,"Half Bruneian, Half Filipino and usually roleplaying BENJI aka Mr. B on NoPixel. Business: iamlysium@gmail.com",fr,Fortnite
48978939,PCH3LK1N,405396,09:02.7,17700888,Bienvenue ! Vidéo de présentation en cliquant sur la bannière MySelf :D,ru,Just Chatting
25202416,蝦愛橘子,104176,29:27.4,131954101,La Chaine Gaming et Talk Show,zh,Pokémon Unite
67416440,XcaliburYe,108599,48:46.5,9276233,:],en,Dota 2
38881685,boxbox,1892423,39:25.4,10952455,"Entrepreneur, Twitch Partner, Papa gaga, Sapeur-Pompier Volontaire mais surtout triple champion du monde de deltaplane de salon.",en,Teamfight Tactics
44338537,BurkeBlack,281110,31:32.6,13234297,Smoke plays First-Person Shooters and open-world survival games like DayZ. His focus is to provide an immersive experience for the viewer in a clean environment. Smoke enjoys building a community of like-minded players.,en,New World
150664679,우정잉,269181,11:18.6,27079474,큐티섹시 스트리머,ko,Just Chatting
44574567,Lysium,202947,43:31.0,47296033,我是懶貓 是個廢課手遊玩家,en,Grand Theft Auto V
117168642,chowh1,347116,43:58.1,9060250,Hier gibt es saftige Livestreams,fr,Call of Duty: Warzone
22413536,Tobiii,24423,42:26.6,7628723,I stream Old School Runescape whenever new exciting updates arrive.,en,Grand Theft Auto V
147337432,lestream,972666,11:37.4,33114549,먹고 자고 게임하는사람 ,fr,Just Chatting
169185650,robcdee,170656,52:37.1,28038123,J'SUIS UN MULTIGAMER MAINTENANT,en,Just Chatting
89284114,Alexclick,149582,51:11.3,41093611,소니쇼 게임방송 (전체이용가),fr,New World
70880222,Smoke,229425,21:22.3,15077155,,en,DayZ
419795496,수련수련,282925,33:12.8,77832461,,ko,Just Chatting
23852822,懶貓,200614,47:29.3,14873743,"Руслан4ик , 21 годик ",zh,Just Chatting
181357564,TolkinLoL,125370,45:13.8,4377675,Первая кибер спортивная студия в Героях 3. Топ-8 кибер спортивных студии в России. Топовые онлайн и оффлайн турниры. Рекламы и сотрудничество: mail@msstudio.tv,de,League of Legends
88006635,Gnu_Live,431226,40:39.1,7183503,Jestem dwudziestoletnim człowiekiem bez perspektyw,de,My Child: Lebensborn
544788954,CPentagon,76509,04:28.7,17926563,One Flew Over the Uthenera's Nest,de,Call of Duty: Warzone
50297139,WooxSolo,190059,21:41.3,135222294,Twitch Streamer. Youtuber. Champion. LCS Veteran. The Professor of The Institute.,en,Old School RuneScape
92371909,플러리,198818,25:24.7,2097867,,ko,Pokémon Unite
29899360,StaysafeTV,186717,39:15.8,32079165,"Yarr Harr! Welcome to the Pirates! Chat Interaction/Friendly Community/And Over the Top Gameplay and Laughs, we set sail Mon-Sat at 10PM EST.",en,New World
40760591,GoBGG,247954,05:12.5,10654409,"Welcome to my Channel, enjoy the Stream :)",fr,Pokémon Unite
55970469,STYLERZ,120614,49:58.7,716299,Read the info page for bio.,de,Call of Duty: Warzone
137404969,소니쇼,289505,33:26.7,5561338,,ko,Just Chatting
58352686,superjj102,129118,43:43.6,2947372,•Name: Can•Alter: 21 PC  Warzone streamer,en,Hearthstone
138117508,악어,325651,29:39.1,17990376,mediocre gamer / entertainer :) Business email: staysafetv@gmail.com,ko,Minecraft
25236843,狂暴小建,216395,22:17.0,35053573,Twitter.com/aatroxcarry,zh,Pokémon Unite
48057752,deco966,79805,56:17.3,4905702,MOMOTV提供最熱血的中職賽事，保證場場精彩🔥直播時間請見官網或FB @momotv75.***Twitch的剪輯功能，讓網友的心情與創意在第一時間保存下來，豐富了整個頻道。但以國罵或違反網路社群倫理作為標題或內容者，身在會把髒話消音的電視台，小編只好心痛下架這些影片了👉👈還請大家多多包含了❤️所有網友編輯的影片、文字皆反映個人言論及觀點，不代表本公司立場。,ru,Dota 2
406654859,MSStudio,25348,07:25.7,5053778,效果 技術 顏值 及於一身的實況主  會嘗試各種遊戲 基本每天都會開播 時間不一定 追隨我拿取第一資訊 ,ru,Just Chatting
123180725,RybsonLoL_,140760,46:32.8,45435,jogos Xbox One para seu divertimento.,pl,League of Legends
28541821,Uthenera,465593,10:23.8,2388422,Business Anfragen: business.stylerz@cowana.de,tr,Teamfight Tactics
